DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
15-Oct-2025,EQ,"5,580.00","5,609.00","5,447.00","5,571.50","5,535.00","5,537.50","5,555.87","5,659.00","3,344.00",484777,"2,69,33,57,742.00",47797
14-Oct-2025,EQ,"5,582.50","5,591.00","5,540.00","5,559.00","5,560.00","5,571.50","5,566.23","5,659.00","3,344.00",375269,"2,08,88,34,634.00",33379
13-Oct-2025,EQ,"5,500.00","5,581.00","5,484.50","5,500.00","5,553.50","5,559.00","5,554.23","5,659.00","3,344.00",417645,"2,31,96,95,591.00",31497
10-Oct-2025,EQ,"5,512.00","5,567.50","5,476.50","5,512.00","5,502.00","5,500.00","5,514.28","5,659.00","3,344.00",835407,"4,60,66,68,114.50",34967
09-Oct-2025,EQ,"5,515.00","5,537.00","5,466.00","5,512.50","5,509.00","5,512.00","5,501.87","5,659.00","3,344.00",872880,"4,80,24,71,413.00",48257
08-Oct-2025,EQ,"5,612.00","5,659.00","5,492.50","5,615.00","5,520.00","5,512.50","5,557.12","5,659.00","3,344.00",789561,"4,38,76,82,709.50",42575
07-Oct-2025,EQ,"5,581.50","5,649.00","5,572.50","5,581.50","5,612.00","5,615.00","5,618.17","5,649.00","3,344.00",858678,"4,82,41,99,749.50",50981
06-Oct-2025,EQ,"5,527.00","5,595.00","5,527.00","5,550.50","5,582.50","5,581.50","5,570.67","5,608.45","3,344.00",844413,"4,70,39,44,698.00",51843
03-Oct-2025,EQ,"5,465.00","5,584.00","5,370.50","5,432.50","5,545.50","5,550.50","5,505.39","5,890.00","3,344.00",1634394,"8,99,79,71,922.50",96490
01-Oct-2025,EQ,"5,472.50","5,519.00","5,410.00","5,472.50","5,437.50","5,432.50","5,445.33","5,890.00","3,344.00",701001,"3,81,71,84,816.50",49610
30-Sep-2025,EQ,"5,323.00","5,483.50","5,323.00","5,300.50","5,473.50","5,472.50","5,428.15","5,890.00","3,344.00",1141788,"6,19,77,97,497.00",104881
